0,780,420,-1,0,0,0
1,780,410,1,0,5,1
2,780,420,-1,0,0,0
3,806,420,-1,20,0,0
4,806,415,1,20,5,2
5,806,420,-1,14,0,0
6,850,411,-1,14,0,0
7,840,404,1,4,5,2
8,850,411,-1,4,0,0
9,864,386,-1,4,0,0
10,854,382,1,-84,5,3
11,864,386,-1,-84,0,0
12,879,355,-1,-88,0,0
13,871,356,1,-88,5,3
14,879,355,-1,-88,0,0
15,890,323,-1,-79,0,0
16,881,320,1,-79,5,4
17,890,323,-1,-125,0,0
18,893,296,-1,-125,0,0
19,882,297,1,-125,5,4
20,893,296,-1,-133,0,0
21,878,270,-1,-133,0,0
22,869,273,1,-133,3,4
23,878,270,-1,-137,0,0
24,866,245,-1,-137,0,0
25,858,249,1,-169,5,5
26,866,245,-1,-169,0,0
27,849,219,-1,-169,0,0
28,843,233,1,153,3,7
29,849,219,-1,153,0,0
30,809,215,-1,170,0,0
31,809,223,1,170,3,7
32,809,215,-1,170,0,0
33,778,215,-1,135,0,0
34,782,224,1,135,5,7
35,778,215,-1,134,0,0
36,744,215,-1,134,0,0
37,762,223,1,103,5,7
38,744,215,-1,103,0,0
39,719,250,-1,103,0,0
40,729,263,1,90,4,3
41,719,250,-1,90,0,0
42,700,314,-1,90,0,0
43,713,316,1,73,5,8
44,700,314,-1,73,0,0
45,700,354,-1,60,0,0
46,716,349,1,60,5,8
47,700,354,-1,60,0,0
48,719,407,-1,36,0,0
49,744,379,1,36,4,4
50,719,407,-1,36,0,0
51,780,420,-1,0,0,0
